,gram_count,document_count,Average_freq
temraz,92,2,46.0
keane,114,2,57.0
counterfactual,293,2,146.5
data,665,6,110.83333333333333
augmentation,193,2,96.5
abstract,3,3,1.0
learning,339,6,56.5
from,290,6,48.333333333333336
class,665,6,110.83333333333333
imbalanced,237,6,39.5
datasets,201,6,33.5
poses,5,3,1.6666666666666667
challenges,9,5,1.8
for,930,6,155.0
many,54,5,10.8
machine,94,6,15.666666666666666
algorithms,79,6,13.166666666666666
domains,19,4,4.75
are,380,6,63.333333333333336
by,241,6,40.166666666666664
definition,11,3,3.6666666666666665
virtue,2,2,1.0
of,1776,6,296.0
having,6,3,2.0
a,1013,6,168.83333333333334
majority,218,6,36.333333333333336
that,651,6,108.5
naturally,8,4,2.0
has,97,6,16.166666666666668
more,134,6,22.333333333333332
instances,237,6,39.5
than,111,6,18.5
its,75,6,12.5
minority,459,6,76.5
genuine,2,2,1.0
bank,2,2,1.0
transactions,40,6,6.666666666666667
occur,6,4,1.5
much,16,5,3.2
often,19,4,4.75
fraudulent,4,2,2.0
ones,12,5,2.4
methods,184,6,30.666666666666668
have,114,6,19.0
been,95,6,15.833333333333334
proposed,53,6,8.833333333333334
to,1239,6,206.5
solve,16,5,3.2
the,3887,6,647.8333333333334
imbalance,122,6,20.333333333333332
problem,175,6,29.166666666666668
among,13,6,2.1666666666666665
most,74,6,12.333333333333334
popular,13,6,2.1666666666666665
being,36,5,7.2
oversampling,75,6,12.5
techniques,76,6,12.666666666666666
such,59,6,9.833333333333334
as,342,6,57.0
smote,355,6,59.166666666666664
these,139,6,23.166666666666668
synthetic,206,6,34.333333333333336
in,1316,6,219.33333333333334
balance,9,5,1.8
dataset,280,6,46.666666666666664
performing,13,5,2.6
augmentations,2,2,1.0
improve,38,6,6.333333333333333
performance,133,6,22.166666666666668
predictive,6,2,3.0
ml,24,3,8.0
models,34,3,11.333333333333334
this,446,6,74.33333333333333
paper,59,6,9.833333333333334
we,238,6,39.666666666666664
advance,2,2,1.0
novel,14,4,3.5
method,236,6,39.333333333333336
adapted,5,3,1.6666666666666667
explainable,12,2,6.0
ai,20,4,5.0
generates,28,4,7.0
unlike,7,4,1.75
other,117,6,19.5
adaptively,13,3,4.333333333333333
combines,5,4,1.25
using,200,6,33.333333333333336
actual,9,3,3.0
rather,27,6,4.5
interpolating,6,3,2.0
values,90,5,18.0
between,132,6,22.0
several,53,6,8.833333333333334
experiments,30,6,5.0
four,34,6,5.666666666666667
different,119,6,19.833333333333332
classifiers,52,4,13.0
and,1292,6,215.33333333333334
solving,7,3,2.3333333333333335
mohammed,2,2,1.0
mark,3,3,1.0
school,5,4,1.25
computer,30,6,5.0
science,24,5,4.8
university,23,5,4.6
college,6,2,3.0
dublin,12,2,6.0
belfield,6,2,3.0
ireland,14,2,7.0
insight,18,3,6.0
centre,8,2,4.0
analytics,5,3,1.6666666666666667
vistamilk,4,2,2.0
sfi,8,2,4.0
research,45,6,7.5
reported,13,4,3.25
which,174,6,29.0
show,32,5,6.4
cfa,140,2,70.0
useful,20,5,4.0
datapoints,21,2,10.5
also,96,6,16.0
is,745,6,124.16666666666667
competitive,8,5,1.6
with,371,6,61.833333333333336
variants,44,2,22.0
basis,11,4,2.75
s,160,6,26.666666666666668
discussed,7,4,1.75
along,13,4,3.25
conditions,12,4,3.0
under,48,6,8.0
it,224,6,37.333333333333336
likely,36,6,6.0
perform,19,6,3.1666666666666665
better,77,6,12.833333333333334
or,109,6,18.166666666666668
worse,4,3,1.3333333333333333
future,17,6,2.8333333333333335
tests,15,4,3.75
keywords,3,3,1.0
reasoning,18,2,9.0
introduction,6,4,1.5
create,17,5,3.4
significant,10,3,3.3333333333333335
problems,69,6,11.5
classification,102,4,25.5
tasks,9,3,3.0
classically,2,2,1.0
arises,5,4,1.25
binary,23,4,5.75
when,123,6,20.5
comes,7,3,2.3333333333333335
one,156,6,26.0
less,25,6,4.166666666666667
instance,127,4,31.75
always,5,5,1.0
simply,5,3,1.6666666666666667
because,39,6,6.5
latter,6,4,1.5
rarer,2,2,1.0
former,3,3,1.0
given,64,6,10.666666666666666
way,26,5,5.2
classifier,89,4,22.25
can,208,6,34.666666666666664
be,393,6,65.5
compromised,3,3,1.0
ways,11,4,2.75
may,72,6,12.0
poor,6,4,1.5
accuracy,43,6,7.166666666666667
predicting,15,5,3.0
spuriously,4,2,2.0
high,26,6,4.333333333333333
whole,8,4,2.0
based,105,6,17.5
only,49,5,9.8
on,526,6,87.66666666666667
success,13,3,4.333333333333333
result,24,6,4.0
rule,29,6,4.833333333333333
induction,10,4,2.5
decision,65,5,13.0
trees,15,5,3.0
recognized,4,3,1.3333333333333333
application,21,6,3.5
medical,6,5,1.2
diagnosis,5,4,1.25
fraud,11,6,1.8333333333333333
detection,27,6,4.5
text,12,4,3.0
oil,8,5,1.6
spills,8,5,1.6
satellite,8,5,1.6
radar,9,4,2.25
images,15,6,2.5
notably,11,3,3.6666666666666665
recently,10,3,3.3333333333333335
some,75,6,12.5
proved,3,3,1.0
deep,9,3,3.0
new,89,6,14.833333333333334
points,43,6,7.166666666666667
need,21,6,3.5
generated,76,6,12.666666666666666
large,28,6,4.666666666666667
labelled,3,3,1.0
required,4,4,1.0
literature,28,4,7.0
important,34,6,5.666666666666667
approaches,42,6,7.0
emerged,6,2,3.0
deal,8,4,2.0
solutions,25,6,4.166666666666667
at,64,6,10.666666666666666
algorithm,124,6,20.666666666666668
levels,8,4,2.0
level,30,5,6.0
attempt,2,2,1.0
change,21,4,5.25
distribution,77,6,12.833333333333334
original,53,6,8.833333333333334
typically,12,5,2.4
either,12,3,4.0
oversample,8,3,2.6666666666666665
undersample,4,2,2.0
sample,43,6,7.166666666666667
combination,33,6,5.5
both,50,6,8.333333333333334
specifically,14,2,7.0
technique,63,6,10.5
become,7,5,1.4
very,48,6,8.0
issues,18,6,3.0
traditional,8,5,1.6
applied,37,6,6.166666666666667
learners,7,3,2.3333333333333335
aim,6,4,1.5
modify,3,3,1.0
used,142,6,23.666666666666668
mitigate,4,2,2.0
their,77,6,12.833333333333334
bias,9,5,1.8
towards,3,3,1.0
groups,17,4,4.25
involve,5,3,1.6666666666666667
use,71,6,11.833333333333334
ensemble,22,6,3.6666666666666665
explore,9,4,2.25
approach,74,6,12.333333333333334
an,148,6,24.666666666666668
interestingly,4,2,2.0
was,97,6,16.166666666666668
previously,7,5,1.4
developed,17,4,4.25
xai,60,2,30.0
reviews,4,2,2.0
see,79,5,15.8
logic,5,3,1.6666666666666667
lewis,4,2,2.0
counterfactuals,69,2,34.5
closest,11,4,2.75
possible,11,5,2.2
world,14,5,2.8
current,32,6,5.333333333333333
outcome,7,2,3.5
hence,19,4,4.75
intuition,7,3,2.3333333333333335
behind,6,5,1.2
not,135,6,22.5
interpolated,6,2,3.0
close,33,3,11.0
existing,33,5,6.6
thus,17,6,2.8333333333333335
populating,2,2,1.0
plausible,18,2,9.0
adaptations,4,2,2.0
if,76,6,12.666666666666666
correct,7,5,1.4
then,90,6,15.0
should,39,6,6.5
perhaps,9,4,2.25
advances,15,5,3.0
related,43,6,7.166666666666667
work,37,6,6.166666666666667
present,23,6,3.8333333333333335
two,76,6,12.666666666666666
strands,2,2,1.0
i,96,6,16.0
sampling,84,6,14.0
ii,31,5,6.2
dominated,2,2,1.0
three,28,5,5.6
main,21,5,4.2
random,58,6,9.666666666666666
ros,6,2,3.0
rus,6,2,3.0
balanced,12,6,2.0
randomly,26,6,4.333333333333333
adding,6,4,1.5
multiple,28,6,4.666666666666667
copies,5,3,1.6666666666666667
classes,123,6,20.5
training,116,6,19.333333333333332
whereas,11,4,2.75
certain,15,6,2.5
number,116,6,19.333333333333332
examples,155,6,25.833333333333332
removed,5,3,1.6666666666666667
although,22,6,3.6666666666666665
they,107,6,17.833333333333332
since,50,6,8.333333333333334
merely,3,3,1.0
no,79,6,13.166666666666666
information,53,6,8.833333333333334
added,9,3,3.0
lead,11,4,2.75
overfitting,3,3,1.0
hand,9,5,1.8
removes,4,3,1.3333333333333333
discarded,3,3,1.0
third,17,6,2.8333333333333335
option,4,3,1.3333333333333333
adopts,4,3,1.3333333333333333
somewhat,3,3,1.0
baseline,28,3,9.333333333333334
comparisons,9,4,2.25
briefly,11,3,3.6666666666666665
describe,8,2,4.0
detail,8,5,1.6
here,9,4,2.25
section,51,5,10.2
before,26,5,5.2
going,3,3,1.0
finally,25,5,5.0
sketch,4,2,2.0
recent,12,6,2.0
small,31,6,5.166666666666667
begun,2,2,1.0
apply,14,4,3.5
oversamples,5,2,2.5
creating,9,5,1.8
replacement,2,2,1.0
widely,6,4,1.5
google,2,2,1.0
scholar,3,3,1.0
lists,2,2,1.0
over,43,6,7.166666666666667
citations,4,3,1.3333333333333333
example,87,6,14.5
created,14,5,2.8
instead,17,6,2.8333333333333335
copying,2,2,1.0
avoids,3,3,1.0
creates,3,2,1.5
neighborhoods,2,2,1.0
surrounding,3,3,1.0
works,13,4,3.25
follows,19,6,3.1666666666666665
assume,14,5,2.8
洧녞,15,2,7.5
starts,2,2,1.0
selecting,5,5,1.0
洧녷,89,2,44.5
determines,4,3,1.3333333333333333
洧녴,26,2,13.0
nearest,85,6,14.166666666666666
neighbors,72,5,14.4
after,14,6,2.3333333333333335
determining,5,3,1.6666666666666667
selects,5,3,1.6666666666666667
neighbor,29,6,4.833333333333333
where,93,6,15.5
following,17,5,3.4
formula,2,2,1.0
洧,4,2,2.0
potential,7,4,1.75
generation,49,6,8.166666666666666
done,19,5,3.8
without,21,5,4.2
reference,5,3,1.6666666666666667
indeed,17,4,4.25
any,33,6,5.5
consideration,15,2,7.5
others,12,5,2.4
process,38,6,6.333333333333333
another,31,6,5.166666666666667
issue,29,6,4.833333333333333
introduce,8,5,1.6
noise,40,5,8.0
generating,34,5,6.8
do,39,6,6.5
exist,11,6,1.8333333333333333
domain,15,4,3.75
value,42,6,7.0
could,65,6,10.833333333333334
accordingly,7,4,1.75
extensions,2,2,1.0
made,19,4,4.75
operation,6,4,1.5
review,19,6,3.1666666666666665
reveal,2,2,1.0
how,29,5,5.8
differs,3,3,1.0
key,22,4,5.5
insights,9,3,3.0
there,65,6,10.833333333333334
about,21,4,5.25
so,91,6,15.166666666666666
hinge,2,2,1.0
regions,32,6,5.333333333333333
emphasise,2,2,1.0
importance,13,4,3.25
focusing,5,5,1.0
border,6,4,1.5
region,17,5,3.4
sometimes,8,2,4.0
analyze,2,2,1.0
respect,20,5,4.0
guide,10,2,5.0
selected,25,5,5.0
critical,12,3,4.0
improvement,7,4,1.75
hinges,4,2,2.0
all,138,6,23.0
equal,18,5,3.6
safer,6,4,1.5
within,44,6,7.333333333333333
clusters,22,4,5.5
into,58,6,9.666666666666666
k,73,6,12.166666666666666
assumption,7,4,1.75
generate,60,6,10.0
solution,14,4,3.5
versions,3,3,1.0
dbscan,2,2,1.0
clustering,18,3,6.0
identify,9,4,2.25
safe,7,3,2.3333333333333335
representative,10,3,3.3333333333333335
project,10,4,2.5
lower,13,4,3.25
dimension,6,4,1.5
applying,23,6,3.8333333333333335
found,37,6,6.166666666666667
somo,4,2,2.0
uses,25,4,6.25
map,25,5,5.0
transform,2,2,1.0
space,145,6,24.166666666666668
embedding,4,2,2.0
separable,19,4,4.75
still,8,4,2.0
adasyn,140,4,35.0
defines,2,2,1.0
geometric,9,4,2.25
around,5,3,1.6666666666666667
each,179,6,29.833333333333332
he,30,6,5.0
et,49,4,12.25
al,42,4,10.5
according,29,5,5.8
harder,2,2,1.0
learn,24,5,4.8
compared,26,6,4.333333333333333
easier,6,3,2.0
belong,8,5,1.6
however,58,6,9.666666666666666
owe,2,2,1.0
lot,6,4,1.5
namely,10,2,5.0
boundary,76,6,12.666666666666666
particularly,9,5,1.8
borderline,15,5,3.0
idea,25,5,5.0
differently,4,2,2.0
owes,2,2,1.0
successful,8,4,2.0
help,11,4,2.75
han,13,5,2.6
realized,6,4,1.5
again,11,5,2.2
洧녦,7,2,3.5
set,122,6,20.333333333333332
every,8,5,1.6
calculates,3,3,1.0
noted,13,4,3.25
called,14,4,3.5
step,28,4,7.0
considered,21,6,3.5
next,16,4,4.0
larger,8,4,2.0
will,97,6,16.166666666666668
easily,6,5,1.2
put,6,2,3.0
danger,6,2,3.0
does,57,6,9.5
participate,2,2,1.0
subsequent,2,2,1.0
steps,16,4,4.0
contains,5,4,1.25
them,33,6,5.5
exploited,2,2,1.0
svm,37,5,7.4
approximate,4,4,1.0
lines,3,3,1.0
joining,3,3,1.0
interpolation,9,5,1.8
extrapolation,2,2,1.0
similar,30,6,5.0
vein,5,3,1.6666666666666667
divides,2,2,1.0
security,2,2,1.0
latent,2,2,1.0
treats,2,2,1.0
adjust,3,3,1.0
rate,29,6,4.833333333333333
those,21,6,3.5
further,11,6,1.8333333333333333
raises,2,2,1.0
questions,2,2,1.0
relationship,12,4,3.0
leading,3,3,1.0
underlying,13,6,2.1666666666666665
considering,22,5,4.4
area,15,5,3.0
becomes,7,4,1.75
apparent,4,2,2.0
borderlines,2,2,1.0
explored,7,3,2.3333333333333335
earlier,8,4,2.0
saw,4,2,2.0
interpolate,2,2,1.0
preponderance,2,2,1.0
adysyn,2,2,1.0
take,13,5,2.6
account,12,4,3.0
finds,10,2,5.0
pairs,22,3,7.333333333333333
low,6,5,1.2
euclidean,22,5,4.4
distance,50,6,8.333333333333334
tomek,13,4,3.25
link,9,4,2.25
pair,23,5,4.6
removing,2,2,1.0
attempts,4,4,1.0
involving,8,4,2.0
edited,5,4,1.25
neighbour,6,2,3.0
swim,8,2,4.0
explicit,2,2,1.0
analyses,10,4,2.5
analysis,40,6,6.666666666666667
computing,24,6,4.0
score,15,4,3.75
safety,2,2,1.0
frequency,4,3,1.3333333333333333
neighbours,19,3,6.333333333333333
ratio,43,5,8.6
finer,2,2,1.0
shown,32,5,6.4
adopt,6,3,2.0
leveraging,4,2,2.0
density,5,3,1.6666666666666667
mahalanobis,2,2,1.0
distances,17,5,3.4
requiring,2,2,1.0
seeds,2,2,1.0
essentially,6,4,1.5
topology,4,2,2.0
takes,7,5,1.4
similarities,3,3,1.0
rough,4,2,2.0
sets,101,6,16.833333333333332
additional,10,5,2.0
acts,4,2,2.0
like,20,5,4.0
might,16,5,3.2
paying,2,2,1.0
attention,9,6,1.5
play,6,3,2.0
role,11,4,2.75
later,4,2,2.0
while,18,5,3.6
reflect,2,2,1.0
out,21,4,5.25
quite,19,3,6.333333333333333
above,7,4,1.75
operates,4,2,2.0
but,57,6,9.5
first,23,6,3.8333333333333335
deploy,2,2,1.0
explain,5,3,1.6666666666666667
predictions,7,4,1.75
provide,27,6,4.5
algorithmic,4,2,2.0
recourse,4,2,2.0
trying,8,5,1.6
automated,8,2,4.0
decisions,4,2,2.0
classic,4,3,1.3333333333333333
system,21,4,5.25
refuses,2,2,1.0
person,2,2,1.0
loan,20,2,10.0
asks,2,2,1.0
why,13,4,3.25
counterfactually,13,2,6.5
you,4,2,2.0
shorter,2,2,1.0
term,3,3,1.0
would,46,6,7.666666666666667
granted,8,2,4.0
explanation,10,2,5.0
tells,5,3,1.6666666666666667
users,4,2,2.0
what,16,4,4.0
desire,2,2,1.0
researched,4,4,1.0
time,29,6,4.833333333333333
diverse,12,2,6.0
names,1,1,1.0
past,2,2,1.0
nuns,2,2,1.0
inverse,8,3,2.6666666666666665
classifications,5,3,1.6666666666666667
hot,4,3,1.3333333333333333
topic,6,3,2.0
appear,2,2,1.0
psychological,6,2,3.0
benefits,10,4,2.5
people,6,2,3.0
understand,2,2,1.0
legal,2,2,1.0
said,14,3,4.666666666666667
gdpr,4,2,2.0
compliant,2,2,1.0
optimization,15,4,3.75
currently,8,4,2.0
test,95,6,15.833333333333334
encoding,2,2,1.0
refusal,2,2,1.0
search,18,5,3.6
perturbations,2,2,1.0
query,8,4,2.0
loss,7,4,1.75
function,46,6,7.666666666666667
balances,1,1,1.0
proximity,4,2,2.0
against,16,5,3.2
counters,2,2,1.0
scaled,2,2,1.0
wachter,8,2,4.0
seminal,2,2,1.0
gradient,5,3,1.6666666666666667
descent,2,2,1.0
find,25,4,6.25
best,48,5,9.6
though,14,4,3.5
genetic,6,3,2.0
mothilal,8,2,4.0
explanations,16,2,8.0
dice,4,2,2.0
extension,7,3,2.3333333333333335
candidates,4,2,2.0
avoiding,3,3,1.0
were,78,6,13.0
trivial,6,3,2.0
blind,2,2,1.0
perturbation,2,2,1.0
invalid,2,2,1.0
defect,2,2,1.0
potentially,5,5,1.0
serious,6,3,2.0
suggests,6,2,3.0
populate,2,2,1.0
negative,53,6,8.833333333333334
effects,7,4,1.75
part,20,6,3.3333333333333335
case,76,6,12.666666666666666
xc,2,2,1.0
captures,2,2,1.0
opposing,2,2,1.0
side,8,3,2.6666666666666665
constraint,14,2,7.0
differ,7,3,2.3333333333333335
contain,4,4,1.0
cases,55,6,9.166666666666666
old,6,2,3.0
female,2,2,1.0
accountant,4,2,2.0
earning,8,3,2.6666666666666665
who,7,3,2.3333333333333335
refused,6,2,3.0
differences,35,5,7.0
italics,3,3,1.0
explanatory,6,2,3.0
implicitly,3,3,1.0
earns,2,2,1.0
am,4,2,2.0
male,3,2,1.5
teacher,2,2,1.0
suggest,7,4,1.75
earned,2,2,1.0
context,10,5,2.0
appears,4,4,1.0
avoid,5,3,1.6666666666666667
pitfalls,2,2,1.0
arise,5,3,1.6666666666666667
perspective,8,2,4.0
seen,28,4,7.0
supporting,2,2,1.0
creation,2,2,1.0
known,21,5,4.2
few,8,5,1.6
subsection,10,3,3.3333333333333335
beyond,5,4,1.25
our,54,5,10.8
hypothesis,32,4,8.0
now,7,4,1.75
papers,14,4,3.5
handful,2,2,1.0
consider,22,5,4.4
evaluating,7,4,1.75
suggested,8,4,2.0
good,47,5,9.4
substitute,2,2,1.0
calling,2,2,1.0
parallel,10,3,3.3333333333333335
did,9,3,3.0
student,5,3,1.6666666666666667
hasan,4,2,2.0
tried,5,3,1.6666666666666667
determine,13,4,3.25
whether,21,4,5.25
augmented,4,2,2.0
act,2,2,1.0
proxy,2,2,1.0
modest,2,2,1.0
selection,36,5,7.2
areas,6,5,1.2
circled,2,2,1.0
subbaswamy,4,2,2.0
saria,4,2,2.0
shift,8,3,2.6666666666666665
divergence,2,2,1.0
model,30,6,5.0
trained,6,3,2.0
tested,15,3,5.0
notion,10,4,2.5
risk,8,4,2.0
diagnose,2,2,1.0
causal,6,2,3.0
zeng,5,3,1.6666666666666667
generator,4,2,2.0
improved,18,6,3.0
generalizability,4,2,2.0
limited,2,2,1.0
observational,2,2,1.0
pitis,4,2,2.0
coda,4,2,2.0
experiences,3,3,1.0
reinforcement,2,2,1.0
rl,4,2,2.0
increases,8,6,1.3333333333333333
size,24,6,4.0
available,12,6,2.0
stitching,2,2,1.0
subsamples,2,2,1.0
environment,4,4,1.0
significantly,6,2,3.0
agents,4,3,1.3333333333333333
conditioned,2,2,1.0
settings,4,3,1.3333333333333333
bespoke,2,2,1.0
specific,11,3,3.6666666666666665
task,7,5,1.4
therefore,32,6,5.333333333333333
robustness,9,4,2.25
study,29,6,4.833333333333333
prediction,33,6,5.5
involved,8,4,2.0
grass,15,3,5.0
growth,14,4,3.5
relies,11,4,2.75
historical,14,2,7.0
measurements,6,2,3.0
climate,12,2,6.0
dairy,6,2,3.0
farms,6,2,3.0
covering,5,4,1.25
reasonably,2,2,1.0
well,38,6,6.333333333333333
individual,8,5,1.6
coming,3,3,1.0
week,2,2,1.0
increasing,7,5,1.4
